user_id,action,entity_type,entity_id,old_values,new_values,created_at
10000000-0000-0000-0000-000000000001,ACCOUNT_CREATED,account,ACC-000001,,"{""status"":""ACTIVE""}",2026-01-05T04:00:00Z
10000000-0000-0000-0000-000000000001,ORDER_PLACED,order,idem-0001-infy-buy,,"{""status"":""NEW""}",2026-03-04T09:20:00Z
10000000-0000-0000-0000-000000000001,ORDER_FILLED,order,idem-0001-infy-buy,"{""status"":""NEW""}","{""status"":""FILLED"",""price"":1578.00}",2026-03-04T09:20:05Z
10000000-0000-0000-0000-000000000002,ORDER_PLACED,order,idem-0007-hdfc-buy,,"{""status"":""NEW""}",2026-03-18T10:30:00Z
10000000-0000-0000-0000-000000000002,ORDER_CANCELLED,order,idem-0010-tatamotors-can,"{""status"":""NEW""}","{""status"":""CANCELLED""}",2026-06-20T15:00:00Z
10000000-0000-0000-0000-000000000003,ORDER_FILLED,order,idem-0011-reliance-buy,"{""status"":""NEW""}","{""status"":""FILLED"",""price"":2820.00}",2026-02-14T09:35:05Z
10000000-0000-0000-0000-000000000004,ORDER_REJECTED,order,idem-0015-reliance-rej,"{""status"":""NEW""}","{""status"":""REJECTED"",""reason"":""funds""}",2026-07-01T07:15:01Z
10000000-0000-0000-0000-000000000007,ACCOUNT_SUSPENDED,account,ACC-000007,"{""status"":""ACTIVE""}","{""status"":""SUSPENDED""}",2026-06-01T04:00:00Z
10000000-0000-0000-0000-000000000008,ACCOUNT_SUSPENDED,account,ACC-000008,"{""status"":""ACTIVE""}","{""status"":""SUSPENDED""}",2026-06-10T04:00:00Z
10000000-0000-0000-0000-000000000009,ACCOUNT_CLOSED,account,ACC-000009,"{""status"":""ACTIVE""}","{""status"":""CLOSED""}",2026-05-20T04:00:00Z
