account_id,entry_type,reference_id,amount,created_at
1,INITIAL_BALANCE,,300000.00,2026-01-05T04:00:00Z
1,BUY_TRADE,30000000-0000-0000-0000-000000000001,-63120.00,2026-03-04T09:20:05Z
1,BUY_TRADE,30000000-0000-0000-0000-000000000002,-71250.00,2026-04-10T10:05:04Z
1,SELL_TRADE,30000000-0000-0000-0000-000000000003,24150.00,2026-05-12T13:15:03Z
1,BUY_TRADE,30000000-0000-0000-0000-000000000004,-450.00,2026-05-15T11:00:02Z
1,BUY_TRADE,30000000-0000-0000-0000-000000000005,-78000.00,2026-06-02T09:45:06Z
2,INITIAL_BALANCE,,200000.00,2026-01-06T04:00:00Z
2,BUY_TRADE,30000000-0000-0000-0000-000000000007,-82500.00,2026-03-18T10:30:05Z
2,BUY_TRADE,30000000-0000-0000-0000-000000000008,-16800.00,2026-04-22T12:10:04Z
2,SELL_TRADE,30000000-0000-0000-0000-000000000009,7000.00,2026-06-05T14:00:03Z
3,INITIAL_BALANCE,,100000.00,2026-01-07T04:00:00Z
3,BUY_TRADE,30000000-0000-0000-0000-000000000011,-28200.00,2026-02-14T09:35:05Z
3,BUY_TRADE,30000000-0000-0000-0000-000000000012,-24000.00,2026-05-28T10:50:04Z
6,INITIAL_BALANCE,,50000.00,2026-01-10T04:00:00Z
6,BUY_TRADE,30000000-0000-0000-0000-000000000013,-3800.00,2026-04-01T15:30:03Z
6,BUY_TRADE,30000000-0000-0000-0000-000000000014,-1080.00,2026-05-03T16:00:02Z
4,INITIAL_BALANCE,,50.00,2026-01-08T04:00:00Z
5,INITIAL_BALANCE,,25000.00,2026-01-09T04:00:00Z
7,INITIAL_BALANCE,,8000.00,2026-01-11T04:00:00Z
8,INITIAL_BALANCE,,3200.00,2026-01-12T04:00:00Z
