id,symbol,name,asset_class,currency,exchange,tradable,created_at
1,INFY.NS,Infosys Ltd,EQUITY,INR,NSE,true,2026-01-01T00:00:00Z
2,RELIANCE.NS,Reliance Industries Ltd,EQUITY,INR,NSE,true,2026-01-01T00:00:00Z
3,TCS.NS,Tata Consultancy Services Ltd,EQUITY,INR,NSE,true,2026-01-01T00:00:00Z
4,HDFCBANK.NS,HDFC Bank Ltd,EQUITY,INR,NSE,true,2026-01-01T00:00:00Z
5,TATASTEEL.BO,Tata Steel Ltd,EQUITY,INR,BSE,true,2026-01-01T00:00:00Z
6,TATAMOTORS.BO,Tata Motors Ltd,EQUITY,INR,BSE,true,2026-01-01T00:00:00Z
7,AAPL,Apple Inc,EQUITY,USD,NASDAQ,true,2026-01-01T00:00:00Z
8,FX:EURUSD,Euro / US Dollar,FX,USD,FX,true,2026-01-01T00:00:00Z
9,X:BTCINR,Bitcoin / Indian Rupee,CRYPTO,INR,CRYPTO,true,2026-01-01T00:00:00Z
10,YESBANK.NS,Yes Bank Ltd,EQUITY,INR,NSE,false,2026-01-01T00:00:00Z
