id,idempotency_key,account_id,instrument_id,side,quantity,price,executed_price,status,created_on,updated_at
30000000-0000-0000-0000-000000000001,idem-0001-infy-buy,1,1,BUY,40,1585.00,1578.00,FILLED,2026-03-04T09:20:00Z,2026-03-04T09:20:05Z
30000000-0000-0000-0000-000000000002,idem-0002-reliance-buy,1,2,BUY,25,2860.00,2850.00,FILLED,2026-04-10T10:05:00Z,2026-04-10T10:05:04Z
30000000-0000-0000-0000-000000000003,idem-0003-infy-sell,1,1,SELL,15,1600.00,1610.00,FILLED,2026-05-12T13:15:00Z,2026-05-12T13:15:03Z
30000000-0000-0000-0000-000000000004,idem-0004-yesbank-buy,1,10,BUY,30,15.00,15.00,FILLED,2026-05-15T11:00:00Z,2026-05-15T11:00:02Z
30000000-0000-0000-0000-000000000005,idem-0005-tcs-buy,1,3,BUY,20,3920.00,3900.00,FILLED,2026-06-02T09:45:00Z,2026-06-02T09:45:06Z
30000000-0000-0000-0000-000000000006,idem-0006-reliance-new,1,2,BUY,10,2900.00,,NEW,2026-07-09T08:45:00Z,2026-07-09T08:45:00Z
30000000-0000-0000-0000-000000000007,idem-0007-hdfc-buy,2,4,BUY,50,1655.00,1650.00,FILLED,2026-03-18T10:30:00Z,2026-03-18T10:30:05Z
30000000-0000-0000-0000-000000000008,idem-0008-tatasteel-buy,2,5,BUY,100,169.00,168.00,FILLED,2026-04-22T12:10:00Z,2026-04-22T12:10:04Z
30000000-0000-0000-0000-000000000009,idem-0009-tatasteel-sell,2,5,SELL,40,174.00,175.00,FILLED,2026-06-05T14:00:00Z,2026-06-05T14:00:03Z
30000000-0000-0000-0000-000000000010,idem-0010-tatamotors-can,2,6,BUY,30,980.00,,CANCELLED,2026-06-20T11:20:00Z,2026-06-20T15:00:00Z
30000000-0000-0000-0000-000000000011,idem-0011-reliance-buy,3,2,BUY,10,2830.00,2820.00,FILLED,2026-02-14T09:35:00Z,2026-02-14T09:35:05Z
30000000-0000-0000-0000-000000000012,idem-0012-infy-buy,3,1,BUY,15,1610.00,1600.00,FILLED,2026-05-28T10:50:00Z,2026-05-28T10:50:04Z
30000000-0000-0000-0000-000000000013,idem-0013-aapl-buy,6,7,BUY,20,192.00,190.00,FILLED,2026-04-01T15:30:00Z,2026-04-01T15:30:03Z
30000000-0000-0000-0000-000000000014,idem-0014-eurusd-buy,6,8,BUY,1000,1.09,1.08,FILLED,2026-05-03T16:00:00Z,2026-05-03T16:00:02Z
30000000-0000-0000-0000-000000000015,idem-0015-reliance-rej,4,2,BUY,5,2900.00,,REJECTED,2026-07-01T07:15:00Z,2026-07-01T07:15:01Z
