watchlist_id,instrument_id,target_high_price,target_low_price
20000000-0000-0000-0000-000000000001,1,1700.00,1550.00
20000000-0000-0000-0000-000000000001,2,3000.00,2700.00
20000000-0000-0000-0000-000000000002,4,1750.00,1600.00
20000000-0000-0000-0000-000000000002,5,185.00,160.00
20000000-0000-0000-0000-000000000003,2,3050.00,2750.00
20000000-0000-0000-0000-000000000004,10,22.00,12.00
20000000-0000-0000-0000-000000000005,6,1050.00,900.00
20000000-0000-0000-0000-000000000006,7,210.00,175.00
20000000-0000-0000-0000-000000000007,9,6500000.00,4500000.00
20000000-0000-0000-0000-000000000008,8,1.15,1.02
